,id,points,version,time,reason,score,reasoning
0,capybara,22.0,B,27.4678,22,0.5789473684210527,0.5789473684210527
1,eagle,10.0,B,26.475923076923078,10,0.2631578947368421,0.2631578947368421
2,elephant,33.0,A,31.296210526315793,29,0.868421052631579,0.7631578947368421
3,giraffe,26.0,A,19.643805555555556,26,0.6842105263157895,0.6842105263157895
4,hedgehog,29.0,A,20.280631578947368,22,0.7631578947368421,0.5789473684210527
5,hippo,18.0,B,35.5981875,16,0.47368421052631576,0.42105263157894735
6,lemur,22.0,B,36.79608823529412,19,0.5789473684210527,0.5
7,lion,26.0,A,33.07221875,21,0.6842105263157895,0.5526315789473685
8,peacock,37.0,A,19.366552631578948,33,0.9736842105263158,0.868421052631579
9,penguin,15.0,B,25.231033333333336,14,0.39473684210526316,0.3684210526315789
10,seal,28.0,A,22.923176470588235,28,0.7368421052631579,0.7368421052631579
11,zebra,21.0,B,28.6616875,20,0.5526315789473685,0.5263157894736842
