id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType
elephant,qID-2,B,82.74,P1,1.0,0,0,,,,,0,,,
elephant,qID-3,B,10.533,P1,1.0,0,0,,,,,0,,,
elephant,qID-1,B,9.354,P1,1.0,0,0,,,,,0,,,
elephant,qID-3,B,8.984,P2,1.0,0,0,,,,,0,,,
elephant,qID-2,B,8.384,P2,1.0,0,0,,,,,0,,,
elephant,qID-1,B,7.033,P2,1.0,0,0,,,,,0,,,
elephant,qID-1,B,7.937,P4,1.0,0,0,,,,,0,,,
elephant,qID-13,B,6.976,P4,1.0,0,0,,,,,0,,,
elephant,qID-12,B,7.88,P4,1.0,0,0,,,,,0,,,
elephant,qID-11,B,63.826,P4,1.0,0,0,,,,,0,,,
elephant,qID-1,B,17.927,P5,1.0,0,0,,,,,0,,,
elephant,qID-1,B,8.454,P6,1.0,0,0,,,,,0,,,
elephant,qID-1,B,8.407,P3,1.0,0,0,,,,,0,,,
elephant,qID-1,B,26.281,P7,1.0,0,0,,,,,0,,,
elephant,qID-0,A,212.349,S1_IN1,1.0,0,1,,,,,0,,,
elephant,qID-11,A,8.482,S1_IN1,1.0,0,1,Is there a mistake? [11],"found that proof established SSA and used SAS, immediately noticed red inconsistency and then investigated: ""what's that?""","inconsistency, tick marks, construction",step 4,1,geometric,,1.0
elephant,qID-12,A,56.134,S1_IN1,1.0,0,1,Which step is wrong? [12],"looked through proof again, checked step 5 before concluding step 4 was using SSA again","construction, tick marks, inconsistency","step 4, step 5",1,geometric,,2.0
elephant,qID-13,A,31.333,S1_IN1,1.0,0,1,Describe reasoning [13],"add BD=BD reflexive, then use SAS",construction,step 4,1,geometric,,3.0
elephant,qID-2,A,30.195,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"not necessarily congruent, don't have same # of ticks","construction, tick marks",step 4,1,"geometric, direct lookup",,4.0
elephant,qID-3,A,40.779,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],not same number of ticks,"construction, tick marks",step 4,1,"geometric, direct lookup",,4.0
elephant,qID-0,A,100.976,S1_IN2,1.0,0,2,,,,,0,,,
elephant,qID-11,A,3.084,S1_IN2,1.0,0,2,Is there a mistake? [11],recognized that only 1 side and 1 angle were used for ASA,"tick marks, construction, inconsistency",step 5,1,geometric,,1.0
elephant,qID-12,A,9.63,S1_IN2,0.0,0,2,Which step is wrong? [12],step 4 because red ? was next to step 4,"inconsistency, relies on",step 5,0,direct lookup,didn't fully keep track of state of proof geometrically and picked answer bc of misleading visual cue,2.0
elephant,qID-13,A,64.608,S1_IN2,0.0,0,2,Describe reasoning [13],skipped many steps established lots of extra information to prove AAS,construction,step 5,0,geometric,too focused on proving with AAS instead of recognizing that RHL was already met,3.0
elephant,qID-2,A,14.812,S1_IN2,1.0,0,2,conclude KL congruent to KM? [2],don't have to be congruent,"construction, tick marks",step 5,1,"geometric, direct lookup",,4.0
elephant,qID-1,A,65.004,S1_IN2,1.0,0,2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],MK is always going to = MK,statement text,step 1,1,geometric,,5.0
elephant,qID-0,A,114.058,S1_C2,1.0,0,3,,,,,0,,,
elephant,qID-11,A,46.104,S1_C2,3.0,0,3,Is there a mistake? [11],walked through the whole proof and described each step geometrically. Nothing seemed to be wrong to them/pretty straightforward read of the proof.,"construction, tick marks, all proof text",,1,geometric,,1.0
elephant,qID-4,A,18.551,S1_C2,1.0,0,3,enough info...ASA at step 7? [4],"bc lines are established as perp, can conclude","earlier proof steps (text), construction",step 5,1,geometric,,5.0
elephant,qID-3,A,35.722,S1_C2,1.0,0,3,enough info...Congruent Adjacent Angles at step 5? [3],bc requirements for ASA have already been met,"tick marks, construction",step 9,1,"geometric, direct lookup",,5.0
elephant,qID-0,A,140.706,S1_C1,1.0,0,4,,,,,0,,,
