id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType
seal,qID-1,B,79.263,P1,1.0,0,0,,,,,,,,
seal,qID-3,B,11.907,P1,1.0,0,0,,,,,,,,
seal,qID-2,B,7.308,P1,1.0,0,0,,,,,,,,
seal,qID-1,B,11.755,P2,1.0,0,0,,,,,,,,
seal,qID-3,B,9.557,P2,1.0,0,0,,,,,,,,
seal,qID-2,B,10.574,P2,1.0,0,0,,,,,,,,
seal,qID-1,B,13.653,P6,1.0,0,0,,,,,,,,
seal,qID-13,B,6.875,P6,1.0,0,0,,,,,,,,
seal,qID-11,B,54.766,P6,0.0,0,0,,,,,,,,
seal,qID-12,B,8.94,P6,1.0,0,0,,,,,,,,
seal,qID-1,B,16.037,P5,1.0,0,0,,,,,,,,
seal,qID-1,B,13.681,P3,1.0,0,0,,,,,,,,
seal,qID-1,B,5.239,P4,1.0,0,0,,,,,,,,
seal,qID-1,B,18.913,P7,0.0,0,0,,,,,,,,
seal,qID-0,A,214.392,S1_IN1,0.0,0,0,,,,,,,,
seal,qID-11,A,1.372,S1_IN1,1.0,0,1,Is there a mistake? [11],"yes, there's a mistake","inconsistency, relies on, tick marks, all proof text","step 3, step 4",right,"geometric, direct lookup",,1.0
seal,qID-12,A,2.159,S1_IN1,1.0,0,1,Which step is wrong? [12],step 4,"inconsistency, construction, all proof text","step 3, step 4",right,"geometric, direct lookup",,2.0
seal,qID-13,A,1.239,S1_IN1,0.0,0,1,Describe reasoning [13],there's already enough information for SAS so to fix they would remove the red tick marks,"tick marks, construction, earlier proof steps (text)",step 4,wrong,"geometric, direct lookup",,3.0
seal,qID-2,A,5.321,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],no because different tick marks,"tick marks, construction",step 5,right,"geometric, direct lookup",,4.0
seal,qID-3,A,46.725,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],"no, not the same tick marks","construction, tick marks",step 5,right,"geometric, direct lookup",,4.0
seal,qID-0,A,25.523,S1_IN3,0.0,0,1,,,,,,,,
seal,qID-11,A,10.541,S1_IN3,0.0,0,2,Is there a mistake? [11],"no mistake, quad == rectangle","construction, inconsistency, tick marks, all proof text",step 4,wrong,geometric,,1.0
seal,qID-3,A,16.644,S1_IN3,1.0,0,2,conclude KN congruent to ML? [3],yes bc matching ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0
seal,qID-0,A,75.742,S1_IN2,0.0,0,2,,,,,,,,
seal,qID-11,A,1.554,S1_IN2,1.0,0,3,Is there a mistake? [11],"yes, there's a mistake","inconsistency, construction, all proof text, tick marks, relies on",step 5,right,"geometric, direct lookup",,1.0
seal,qID-12,A,21.311,S1_IN2,1.0,0,3,Which step is wrong? [12],"step 5, issue with reason","tick marks, all proof text, construction",step 5,right,"geometric, direct lookup",,2.0
seal,qID-13,A,91.144,S1_IN2,0.0,0,3,Describe reasoning [13],use SSA to fix,construction,step 5,wrong,geometric,,3.0
seal,qID-2,A,19.456,S1_IN2,1.0,0,3,conclude KL congruent to KM? [2],no bc different ticks,tick marks,step 5,right,"geometric, direct lookup",,4.0
seal,qID-1,A,25.796,S1_IN2,1.0,0,3,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, can be used anywhere",,"step 4, step 1, step 2",right,geometric,,5.0
seal,qID-0,A,52.606,S1_C2,0.0,0,3,,,,,,,,
seal,qID-11,A,4.717,S1_C2,3.0,0,4,Is there a mistake? [11],no mistake,"construction, all proof text",step 9,right,geometric,,1.0
seal,qID-3,A,9.773,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],yes enough information,"earlier proof steps (text), relies on",step 5,right,geometric,,5.0
seal,qID-4,A,8.357,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],yes enough information,"earlier proof steps (text), relies on",step 7,right,geometric,,5.0
seal,qID-0,A,47.475,S1_C1,0.0,0,4,,,,,,,,
seal,qID-11,A,10.7,S1_C1,3.0,0,5,Is there a mistake? [11],no mistake,"construction, all proof text",step 7,right,geometric,,1.0
seal,qID-2,A,22.861,S1_C1,1.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, enough information",earlier proof steps (text),"step 4, step 1, step 2",right,geometric,,5.0
seal,qID-3,A,10.513,S1_C1,0.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thinks there's enough information (you COULD conclude that there's enough info for SAS but filled in the vertical angles in their head),"construction, tick marks","step 5, step 3, step 4",wrong,geometric,,5.0
seal,qID-0,A,40.592,S2_IN2,0.0,0,5,,,,,,,,
seal,qID-11,A,1.558,S2_IN2,1.0,0,6,Is there a mistake? [11],"yes, wrong use of CPCTC","construction, inconsistency, tick marks",step 7,right,"geometric, direct lookup",,1.0
seal,qID-12,A,9.698,S2_IN2,1.0,0,6,Which step is wrong? [12],"step 7, wrong use of CPCTC","construction, inconsistency",step 7,right,"geometric, direct lookup",,2.0
seal,qID-13,A,6.075,S2_IN2,1.0,0,6,Describe reasoning [13],,,step 7,right,geometric,,3.0
seal,qID-2,A,16.093,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],"different angles, not congruent",construction,step 7,right,"geometric, direct lookup",,4.0
seal,qID-1,A,75.743,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to complete,"earlier proof steps (text), construction","step 2, step 3",right,geometric,,5.0
seal,qID-11,A,67.111,S2_C2,3.0,0,7,Is there a mistake? [11],no mistake,"construction, all proof text",step 10,right,geometric,,1.0
seal,qID-2,A,22.719,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],"no, different ticks","construction, tick marks",step 1,right,"geometric, direct lookup",,4.0
seal,qID-1,A,83.525,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no not enough information,earlier proof steps (text),"step 9, step 7, step 8",right,geometric,,5.0
seal,qID-0,A,153.276,S2_C2,0.0,0,7,,,,,,,,
seal,qID-0,A,4.959,S2_IN1,0.0,0,7,,,,,,,,
seal,qID-11,A,3.027,S2_IN1,0.0,0,8,Is there a mistake? [11],"no mistake, saw red inconsistency but didn't understand what it meant or how to read it","construction, inconsistency, all proof text","step 8, step 9",wrong,geometric,,1.0
seal,qID-2,A,18.6,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],"yes, enough information",earlier proof steps (text),step 9,wrong,geometric,,4.0
zebra,qID-2,B,94.289,P1,1.0,0,0,,,,,,,,
zebra,qID-3,B,14.387,P1,1.0,0,0,,,,,,,,
zebra,qID-1,B,34.429,P1,1.0,0,0,,,,,,,,
zebra,qID-2,B,30.774,P2,1.0,0,0,,,,,,,,
zebra,qID-3,B,14.316,P2,1.0,0,0,,,,,,,,
zebra,qID-1,B,20.754,P2,1.0,0,0,,,,,,,,
zebra,qID-1,B,19.775,P4,1.0,0,0,,,,,,,,
zebra,qID-12,B,14.78,P4,1.0,0,0,,,,,,,,
zebra,qID-13,B,10.939,P4,1.0,0,0,,,,,,,,
zebra,qID-11,B,37.619,P4,1.0,0,0,,,,,,,,
zebra,qID-1,B,21.818,P7,1.0,0,0,,,,,,,,
zebra,qID-1,B,49.22,P5,0.0,0,0,,,,,,,,
zebra,qID-1,B,12.694,P6,1.0,0,0,,,,,,,,
zebra,qID-1,B,14.289,P3,1.0,0,0,,,,,,,,
zebra,qID-0,B,89.217,S1_IN1,0.0,0,0,,,,,,,,
zebra,qID-11,B,12.905,S1_IN1,0.0,0,1,Is there a mistake? [11],"looked at construction (showing SSA) and thought SAS requirements were met, so there's no mistake","construction, all proof text, tick marks",,wrong,geometric,,1.0
zebra,qID-2,B,24.422,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"Not the same # of ticks, so no","tick marks, construction",,right,geometric,,4.0
zebra,qID-3,B,39.191,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],no because angles are not congruent to each other,"tick marks, construction",,right,geometric,,4.0
zebra,qID-0,B,36.526,S1_C2,0.0,0,1,,,,,,,,
zebra,qID-11,B,77.084,S1_C2,3.0,0,2,Is there a mistake? [11],no mistake,"construction, all proof text",,right,geometric,,1.0
zebra,qID-4,B,29.344,S1_C2,1.0,0,2,enough info...ASA at step 7? [4],"yes, requirements for ASA met","construction, earlier proof steps (text)",,right,geometric,,5.0
zebra,qID-3,B,17.343,S1_C2,1.0,0,2,enough info...Congruent Adjacent Angles at step 5? [3],"yes, lines established to be perpendicular","construction, earlier proof steps (text)",,right,geometric,,5.0
zebra,qID-0,B,61.196,S1_C1,0.0,0,2,,,,,,,,
zebra,qID-11,B,35.664,S1_C1,0.0,0,3,Is there a mistake? [11],yes bc thinks can't prove lines are parallel using triangle congruence,"construction, tick marks, all proof text",,wrong,geometric,,1.0
zebra,qID-12,B,30.351,S1_C1,0.0,0,3,Which step is wrong? [12],"step 7, issue with saying AC || BD","construction, all proof text",,wrong,geometric,,2.0
zebra,qID-13,B,29.739,S1_C1,0.0,0,3,Describe reasoning [13],doesn't think the last line can be corrected,,,wrong,geometric,,3.0
zebra,qID-2,B,60.054,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, knows lines are intersecting before","construction, earlier proof steps (text)",,right,geometric,,5.0
zebra,qID-3,B,16.369,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"no, need vertical angles before","construction, earlier proof steps (text)",,right,geometric,,5.0
zebra,qID-0,B,73.988,S1_IN3,0.0,0,3,,,,,,,,
zebra,qID-11,B,7.388,S1_IN3,0.0,0,4,Is there a mistake? [11],"Thinks quad == rectangle, no mistake","construction, all proof text",,wrong,geometric,,1.0
zebra,qID-3,B,10.084,S1_IN3,1.0,0,4,conclude KN congruent to ML? [3],yes bc same # ticks,"construction, tick marks",,right,geometric,,4.0
zebra,qID-0,B,47.996,S1_IN2,0.0,0,4,,,,,,,,
zebra,qID-11,B,14.364,S1_IN2,1.0,0,5,Is there a mistake? [11],Thinks AAS step is wrong,"construction, all proof text",,right,geometric,,1.0
zebra,qID-12,B,6.176,S1_IN2,1.0,0,5,Which step is wrong? [12],thinks step 5 is wrong bc AAS wrong reason to use,"construction, all proof text",,right,geometric,,2.0
zebra,qID-13,B,27.954,S1_IN2,0.0,0,5,Describe reasoning [13],Use SAS to fix (counts SAS incorrectly),"construction, all proof text",,wrong,geometric,,3.0
zebra,qID-2,B,13.074,S1_IN2,1.0,0,5,conclude KL congruent to KM? [2],no not enough info,"construction, tick marks",,right,geometric,,4.0
zebra,qID-1,B,27.775,S1_IN2,1.0,0,5,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, line is congruent to itself",all proof text,,right,geometric,,5.0
zebra,qID-0,B,26.464,S2_IN2,0.0,0,5,,,,,,,,
zebra,qID-11,B,76.008,S2_IN2,0.0,0,6,Is there a mistake? [11],"stopped reading after step 6, thinks there's no mistake","earlier proof steps (text), construction",,wrong,geometric,,1.0
zebra,qID-2,B,25.996,S2_IN2,0.0,0,6,conclude <MYZ congruent to <MWX? [2],yes b/c triangle congruence is established,,,wrong,geometric,,4.0
zebra,qID-1,B,44.115,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],"no, needs triangle congruence first",,,right,geometric,,5.0
zebra,qID-0,B,104.368,S2_C2,0.0,0,6,,,,,,,,
zebra,qID-11,B,1.913,S2_C2,3.0,0,7,Is there a mistake? [11],no mistake,"construction, all proof text",,right,geometric,,1.0
zebra,qID-2,B,24.431,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],angles are not congruent to each other,construction,,right,geometric,,4.0
zebra,qID-1,B,27.608,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],SAS can't be moved earlier,earlier proof steps (text),,right,geometric,,5.0
zebra,qID-0,B,44.324,S2_IN1,0.0,0,7,,,,,,,,
zebra,qID-11,B,1.875,S2_IN1,1.0,0,8,Is there a mistake? [11],there's an issue with the proof with step 6 using ASA,"construction, all proof text",,wrong,geometric,,1.0
zebra,qID-12,B,16.333,S2_IN1,0.0,0,8,Which step is wrong? [12],"step 6, ASA is the wrong reason to use","construction, all proof text",,wrong,geometric,,2.0
zebra,qID-13,B,27.652,S2_IN1,0.0,0,8,Describe reasoning [13],use RHL instead of ASA (by using given step 2 and 3 + a reflexive side),"construction, tick marks, all proof text",,wrong,geometric,,3.0
zebra,qID-2,B,33.968,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],"yes, enough info to prove the 2 triangles congruent",all proof text,,wrong,geometric,,4.0
lion,qID-2,B,90.235,P1,1.0,0,0,,,,,,,,
lion,qID-1,B,41.16,P1,0.0,0,0,,,,,,,,
lion,qID-3,B,12.988,P1,1.0,0,0,,,,,,,,
lion,qID-3,B,12.908,P2,1.0,0,0,,,,,,,,
lion,qID-1,B,59.931,P2,1.0,0,0,,,,,,,,
lion,qID-2,B,17.985,P2,1.0,0,0,,,,,,,,
lion,qID-1,B,52.229,P7,1.0,0,0,,,,,,,,
lion,qID-11,B,29.257,P7,0.0,0,0,,,,,,,,
lion,qID-12,B,8.153,P7,1.0,0,0,,,,,,,,
lion,qID-13,B,11.023,P7,0.0,0,0,,,,,,,,
lion,qID-1,B,10.773,P3,1.0,0,0,,,,,,,,
lion,qID-1,B,19.169,P5,1.0,0,0,,,,,,,,
lion,qID-1,B,29.731,P6,0.0,0,0,,,,,,,,
lion,qID-1,B,32.418,P4,1.0,0,0,,,,,,,,
lion,qID-0,A,352.308,S1_IN2,0.0,0,0,,,,,,,,
lion,qID-11,A,1.779,S1_IN2,1.0,0,1,Is there a mistake? [11],never established that corner angles are same,"inconsistency, all proof text, construction",step 5,right,"geometric, direct lookup",,1.0
lion,qID-12,A,2.752,S1_IN2,1.0,0,1,Which step is wrong? [12],step 5 bc AAS is wrong,earlier proof steps (text),step 5,right,geometric,,2.0
lion,qID-13,A,1.526,S1_IN2,1.0,0,1,Describe reasoning [13],add step for < bisector and use SAS to solve,"construction, tick marks","step 1, step 2",right,geometric,,3.0
lion,qID-2,A,1.981,S1_IN2,1.0,0,1,conclude KL congruent to KM? [2],"no, bc hypotenuse is always going to be bigger",construction,step 1,right,geometric,,4.0
lion,qID-1,A,27.417,S1_IN2,1.0,0,1,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, line is always equal to itself",construction,step 2,right,geometric,,5.0
lion,qID-0,A,95.302,S1_IN3,0.0,0,1,,,,,,,,
lion,qID-11,A,37.192,S1_IN3,0.0,0,2,Is there a mistake? [11],thinks that quad == rectangle,"construction, tick marks, reason definition",step 4,wrong,geometric,quad != rectangle,1.0
lion,qID-3,A,30.348,S1_IN3,1.0,0,2,conclude KN congruent to ML? [3],"if quad, then there must be 2 pairs of equal sides","construction, reason definition",step 4,wrong,geometric,quad != rectangle,4.0
lion,qID-0,A,116.038,S1_IN1,0.0,0,2,,,,,,,,
lion,qID-11,A,2.439,S1_IN1,0.0,0,3,Is there a mistake? [11],"sees the inconsistency (red lost its meaning here), doesn't recognize that the angles are not established. solved the proof in their head and was convinced that there was enough information to apply SAS","construction, relies on, inconsistency, all proof text",step 5,wrong,geometric,missed that BD had not been established yet and jumped to conclude that SAS was correct reason,1.0
lion,qID-3,A,29.748,S1_IN1,1.0,0,3, conclude <DBA congruent to <BCD? [3],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,,4.0
lion,qID-2,A,14.979,S1_IN1,1.0,0,3,conclude BA congruent to CB? [2],triangles are not established to be equilateral,"construction, all proof text",step 3,right,geometric,,4.0
lion,qID-0,A,112.57,S1_C2,0.0,0,3,,,,,,,,
lion,qID-11,A,2.37,S1_C2,3.0,0,4,Is there a mistake? [11],no issues with the proof,"construction, all proof text, reason definition",step 9,right,geometric,,1.0
lion,qID-4,A,10.674,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],"yes, because that's what they did as well",earlier proof steps (text),step 5,right,geometric,,5.0
lion,qID-3,A,12.532,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],already said lines perp so yes,all proof text,step 9,right,geometric,,5.0
lion,qID-0,A,57.554,S1_C1,0.0,0,4,,,,,,,,
lion,qID-11,A,72.469,S1_C1,3.0,0,5,Is there a mistake? [11],"no issues with the proof, triangles are mirror image of each other so the angles are the same","construction, all proof text, tick marks",step 7,right,geometric,,1.0
lion,qID-3,A,20.423,S1_C1,1.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],no bc didn't have vertical angles,"relies on, earlier proof steps (text)",step 4,right,"geometric, direct lookup",,5.0
lion,qID-2,A,32.864,S1_C1,1.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],yes bc had intersecting lines,"relies on, earlier proof steps (text)",step 1,right,"geometric, direct lookup",,5.0
lion,qID-0,A,26.971,S2_C2,0.0,0,5,,,,,,,,
lion,qID-11,A,107.134,S2_C2,3.0,0,6,Is there a mistake? [11],no issue with proof,"construction, all proof text, tick marks",step 10,,,,1.0
lion,qID-1,A,25.385,S2_C2,1.0,0,6,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],needs AB=BC to prove,"construction, tick marks",step 7,right,"geometric, direct lookup",,5.0
lion,qID-2,A,30.387,S2_C2,1.0,0,6,conclude <BAF congruent to <DCB? [2],different angles,construction,step 7,right,geometric,,4.0
lion,qID-0,A,90.589,S2_IN2,0.0,0,6,,,,,,,,
lion,qID-11,A,1.553,S2_IN2,0.0,0,7,Is there a mistake? [11],"ignored the red inconsistency, said ""there's definitely a mistake but i missed it""","reason definition, all proof text, inconsistency, construction",step 8,wrong,"geometric, guess",,1.0
lion,qID-1,A,22.776,S2_IN2,1.0,0,7,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],no bc there's not enough information,earlier proof steps (text),step 1,right,geometric,,5.0
lion,qID-2,A,17.386,S2_IN2,0.0,0,7,conclude <MYZ congruent to <MWX? [2],yes bc of alternate interior angles,construction,step 2,wrong,geometric,thinks that both pairs of alt-int angles are congruent to each other,4.0
lion,qID-0,A,8.822,S2_IN1,0.0,0,7,,,,,,,,
lion,qID-11,A,116.827,S2_IN1,1.0,0,8,Is there a mistake? [11],"know that information is missing, thinks angle L and U are missing","inconsistency, construction, all proof text",step 8,wrong,geometric,trying to solve for the wrong triangles,1.0
lion,qID-12,A,11.587,S2_IN1,0.0,0,8,Which step is wrong? [12],"step 7, confused about which triangles are being proven congruent","all proof text, construction",step 7,wrong,geometric,trying to solve for the wrong triangles,2.0
